Symbol,Date,Open,High,Low,Close,Volume
TSLA,20170711,$21.0667,$21.8187,$20.9533,$21.8147,172901314
TSLA,20170710,$20.86,$21.196,$20.2087,$21.07,206404247
TSLA,20170707,$20.90,$21.1333,$20.492,$20.8813,211949144
TSLA,20170706,$21.1507,$21.386,$20.42,$20.5887,288870456
TSLA,20170705,$23.1467,$23.1493,$21.7553,$21.806,254974373
TSLA,20170703,$24.6827,$24.7567,$23.4333,$23.508,94580968
TSLA,20170630,$24.2473,$24.4512,$23.9746,$24.1073,87345646
TSLA,20170629,$24.7073,$24.7333,$23.6067,$24.05,123036883
TSLA,20170628,$24.4453,$24.7827,$24.168,$24.7493,94354798
TSLA,20170627,$25.0933,$25.0933,$24.1347,$24.158,104662358
TSLA,20170626,$25.7793,$25.7967,$24.8733,$25.166,98952761
TSLA,20170623,$25.4967,$25.7993,$25.2897,$25.5633,96377652
TSLA,20170622,$25.1993,$25.6667,$24.9047,$25.5073,112656034
TSLA,20170621,$24.9567,$25.1327,$24.5347,$25.0933,73751513
TSLA,20170620,$25.1113,$25.2587,$24.6487,$24.816,111286594
TSLA,20170619,$25.00,$25.1133,$24.52,$24.6533,96501462
TSLA,20170616,$25.1983,$25.2007,$24.6733,$24.76,95211702
TSLA,20170615,$24.8333,$25.0307,$24.4327,$25.0227,156189672
TSLA,20170614,$25.4057,$25.6167,$25.0873,$25.3773,191677104
TSLA,20170613,$24.508,$25.0667,$24.4407,$25.0633,176600462
TSLA,20170612,$23.866,$24.30,$23.3747,$23.934,157617821
TSLA,20170609,$24.9613,$25.1247,$23.6533,$23.8213,258750771
TSLA,20170608,$24.25,$24.7933,$24.0147,$24.6667,135430087
TSLA,20170607,$23.756,$24.0333,$23.676,$23.9767,140230310
TSLA,20170606,$22.98,$23.9662,$22.6647,$23.5233,165478717
TSLA,20170605,$22.5667,$23.2293,$22.2807,$23.1547,101537559
TSLA,20170602,$22.6513,$22.8587,$22.3953,$22.6567,83759238
TSLA,20170601,$22.9333,$22.992,$22.486,$22.6913,114026403
TSLA,20170531,$22.5127,$22.8593,$22.344,$22.734,149063265
TSLA,20170530,$21.7333,$22.4187,$21.7173,$22.34,116572982
TSLA,20170526,$21.152,$21.6993,$21.0873,$21.676,116895077
TSLA,20170525,$20.7347,$21.1313,$20.5207,$21.122,75006442
TSLA,20170524,$20.434,$20.7333,$20.36,$20.6813,75527842
TSLA,20170523,$20.6973,$20.7153,$20.232,$20.2573,64713973
TSLA,20170522,$20.8533,$20.958,$20.4533,$20.69,64864543
TSLA,20170519,$21.0333,$21.10,$20.68,$20.722,69818665
TSLA,20170518,$20.4667,$20.9293,$20.354,$20.8707,84137253
TSLA,20170517,$20.9593,$20.9753,$20.3667,$20.4073,100434805
TSLA,20170516,$21.1727,$21.3373,$21.0093,$21.134,62115959
TSLA,20170515,$21.2253,$21.3467,$20.8353,$21.0587,114102753
TSLA,20170512,$21.6987,$21.80,$21.4353,$21.654,61779164
TSLA,20170511,$21.56,$21.7333,$21.3067,$21.54,71207544
TSLA,20170510,$21.4373,$21.70,$21.208,$21.6813,86017817
TSLA,20170509,$20.6253,$21.466,$20.6067,$21.4173,144950538
TSLA,20170508,$20.7267,$20.9193,$20.388,$20.4793,105043552
TSLA,20170505,$19.8667,$20.57,$19.7867,$20.5567,121761674
TSLA,20170504,$20.4957,$20.518,$19.384,$19.6973,212039744
TSLA,20170503,$21.178,$21.4353,$20.6967,$20.7347,103188833
TSLA,20170502,$21.60,$21.844,$21.104,$21.2593,79748225
TSLA,20170501,$20.992,$21.8167,$20.9873,$21.522,132298254
TSLA,20170428,$20.6553,$20.9867,$20.5333,$20.938,67449851
TSLA,20170427,$20.7793,$20.8727,$20.50,$20.5753,51939919
TSLA,20170426,$20.8247,$20.9667,$20.60,$20.678,70246930
TSLA,20170425,$20.5333,$20.932,$20.3907,$20.9193,101012379
TSLA,20170424,$20.6147,$20.7033,$20.4014,$20.5353,76166527
TSLA,20170421,$20.1333,$20.4267,$20.028,$20.3733,67529336
TSLA,20170420,$20.434,$20.61,$20.0153,$20.1673,92189369
TSLA,20170419,$20.164,$20.4413,$20.1407,$20.368,58367146
TSLA,20170418,$19.98,$20.056,$19.86,$20.0167,45513352
TSLA,20170417,$20.18,$20.2667,$19.912,$20.096,61920974
TSLA,20170413,$19.78,$20.4927,$19.6867,$20.2667,139135160
TSLA,20170412,$20.4227,$20.5632,$19.7547,$19.7893,90654675
TSLA,20170411,$20.892,$20.898,$20.3667,$20.5807,85770752
TSLA,20170410,$20.61,$20.9153,$20.5807,$20.826,114804288
TSLA,20170407,$19.8333,$20.1793,$19.81,$20.1693,68499446
TSLA,20170406,$19.792,$20.1293,$19.6067,$19.9133,82765924
TSLA,20170405,$20.136,$20.3253,$19.6133,$19.6667,117878416
TSLA,20170404,$19.7927,$20.3207,$19.6353,$20.2467,151623374
TSLA,20170403,$19.1267,$19.9333,$18.972,$19.9013,207972646
TSLA,20170331,$18.582,$18.6453,$18.4213,$18.5533,49405445
TSLA,20170330,$18.536,$18.80,$18.4807,$18.528,62121524
TSLA,20170329,$18.556,$18.64,$18.3693,$18.492,55087862
TSLA,20170328,$18.468,$18.712,$18.3333,$18.4967,119679915
TSLA,20170327,$17.3733,$18.038,$17.3167,$18.0147,93320368
TSLA,20170324,$17.0467,$17.5927,$17.0007,$17.544,84564978
TSLA,20170323,$17.026,$17.1781,$16.8867,$16.9853,49647635
TSLA,20170322,$16.7707,$17.0047,$16.7007,$17.0007,60850995
TSLA,20170321,$17.522,$17.6533,$16.6827,$16.712,103523273
TSLA,20170320,$17.3733,$17.6367,$17.2547,$17.4613,54024213
TSLA,20170317,$17.60,$17.6887,$17.4133,$17.4333,97365221
TSLA,20170316,$17.4933,$17.7167,$17.2707,$17.47,106907647
TSLA,20170315,$17.1333,$17.40,$16.9513,$17.0487,78500436
TSLA,20170314,$16.4073,$17.208,$16.4013,$17.20,113725728
TSLA,20170313,$16.3213,$16.4567,$16.1854,$16.4113,45169177
TSLA,20170310,$16.414,$16.4333,$16.20,$16.246,45941752
TSLA,20170309,$16.5087,$16.5773,$16.20,$16.3267,58147381
TSLA,20170308,$16.4667,$16.6713,$16.3547,$16.458,55901162
TSLA,20170307,$16.7947,$16.926,$16.5547,$16.5727,51788779
TSLA,20170306,$16.5273,$16.78,$16.5007,$16.7473,50303990
TSLA,20170303,$16.716,$16.7933,$16.60,$16.7713,43882193
TSLA,20170302,$16.6473,$16.8853,$16.5513,$16.6987,50186240
TSLA,20170301,$16.9453,$16.99,$16.6073,$16.668,72074409
TSLA,20170228,$16.2793,$16.7333,$16.26,$16.666,91108304
TSLA,20170227,$16.5447,$16.5573,$16.134,$16.4153,171752314
TSLA,20170224,$16.844,$17.2167,$16.68,$17.1333,122502974
TSLA,20170223,$17.60,$17.644,$17.0373,$17.066,223156238
TSLA,20170222,$18.6873,$18.8967,$18.1733,$18.234,128067101
TSLA,20170221,$18.3633,$18.76,$18.2673,$18.4927,84713583
TSLA,20170217,$17.72,$18.1927,$17.61,$18.1487,93771988
TSLA,20170216,$18.5067,$18.6667,$17.90,$17.93,105957847
TSLA,20170215,$18.6667,$18.816,$18.4293,$18.6507,74158148
TSLA,20170214,$18.602,$19.1593,$18.574,$18.732,110121695
TSLA,20170213,$18.0493,$18.7193,$18.034,$18.7067,105346027
TSLA,20170210,$17.986,$18.0633,$17.7407,$17.9487,54275013
TSLA,20170209,$17.75,$18.0787,$17.7433,$17.9467,117188941
TSLA,20170208,$17.1567,$17.5573,$17.08,$17.472,58686391
TSLA,20170207,$17.2127,$17.3333,$17.0947,$17.1653,63660913
TSLA,20170206,$16.7333,$17.188,$16.7087,$17.1847,53363973
TSLA,20170203,$16.794,$16.8119,$16.6453,$16.7553,32778434
TSLA,20170202,$16.556,$16.828,$16.514,$16.77,37481966
TSLA,20170201,$16.87,$16.88,$16.6033,$16.616,59296545
TSLA,20170131,$16.616,$17.0593,$16.5133,$16.7953,61680164
TSLA,20170130,$16.8353,$17.0193,$16.4733,$16.7087,56979542
TSLA,20170127,$16.7587,$16.8667,$16.568,$16.8633,47426586
TSLA,20170126,$16.9527,$17.0493,$16.7167,$16.834,47155731
TSLA,20170125,$17.154,$17.2307,$16.7867,$16.9647,77179476
TSLA,20170124,$16.6667,$16.9867,$16.6433,$16.974,74372123
TSLA,20170123,$16.39,$16.726,$16.3667,$16.5947,93931408
TSLA,20170120,$16.364,$16.40,$16.2007,$16.3153,62995769
TSLA,20170119,$16.4833,$16.5787,$16.05,$16.2507,115758602
TSLA,20170118,$15.7767,$15.9807,$15.7053,$15.8907,56509052
TSLA,20170117,$15.78,$15.9973,$15.6247,$15.7053,69220930
TSLA,20170113,$15.3333,$15.8567,$15.306,$15.85,91284104
TSLA,20170112,$15.2707,$15.38,$15.0387,$15.306,56813177
TSLA,20170111,$15.2713,$15.332,$15.112,$15.3153,54748623
TSLA,20170110,$15.4667,$15.4667,$15.126,$15.3247,54884688
TSLA,20170109,$15.2647,$15.4613,$15.20,$15.4187,59590710
TSLA,20170106,$15.1287,$15.354,$15.03,$15.2673,82862254
TSLA,20170105,$15.0947,$15.1653,$14.7967,$15.1167,88633861
TSLA,20170104,$14.3167,$15.20,$14.2873,$15.1327,168068316
TSLA,20170103,$14.324,$14.6887,$14.064,$14.466,88522366
TSLA,20161230,$14.42,$14.50,$14.112,$14.246,69619285
TSLA,20161229,$14.5707,$14.6133,$14.2748,$14.312,60646260
TSLA,20161228,$14.7687,$14.92,$14.48,$14.6493,56678132
TSLA,20161227,$14.3253,$14.8167,$14.2947,$14.6353,88699981
TSLA,20161223,$13.8667,$14.23,$13.8473,$14.2227,70023910
TSLA,20161222,$13.8813,$13.9993,$13.7667,$13.8967,46626382
TSLA,20161221,$13.8967,$14.1487,$13.8273,$13.8467,78092106
TSLA,20161220,$13.5367,$13.9333,$13.50,$13.9193,70264000
TSLA,20161219,$13.4993,$13.63,$13.3227,$13.5153,52304029
TSLA,20161216,$13.2053,$13.506,$13.1733,$13.4993,56931632
TSLA,20161215,$13.2273,$13.3827,$13.1593,$13.172,48279771
TSLA,20161214,$13.2493,$13.5333,$13.1173,$13.246,62209679
TSLA,20161213,$12.8787,$13.4187,$12.8667,$13.21,102289779
TSLA,20161212,$12.8533,$12.9613,$12.736,$12.8287,36546402
TSLA,20161209,$12.7247,$12.9224,$12.7207,$12.812,40814035
TSLA,20161208,$12.8033,$12.8333,$12.636,$12.8193,47905236
TSLA,20161207,$12.41,$12.8933,$12.3333,$12.8767,81856024
TSLA,20161206,$12.368,$12.4387,$12.1788,$12.39,50840450
TSLA,20161205,$12.1673,$12.5927,$12.1673,$12.4533,61042169
TSLA,20161202,$12.192,$12.3253,$12.00,$12.098,60602985
TSLA,20161201,$12.55,$12.5687,$12.0667,$12.1253,76786537
TSLA,20161130,$12.7333,$12.7927,$12.50,$12.6267,53173338
TSLA,20161129,$13.0373,$13.1153,$12.6333,$12.638,66529647
TSLA,20161128,$13.032,$13.29,$12.97,$13.0747,67816196
TSLA,20161125,$12.9093,$13.1492,$12.9093,$13.11,35491452
TSLA,20161123,$12.7073,$13.0429,$12.60,$12.876,73354238
TSLA,20161122,$12.3893,$12.7647,$12.2473,$12.7447,84018528
TSLA,20161121,$12.336,$12.5927,$12.294,$12.3013,65338047
TSLA,20161118,$12.71,$12.8667,$12.3333,$12.3347,78097056
TSLA,20161117,$12.2327,$12.6327,$12.1407,$12.5773,73214498
